id,nama,lokasi,phone,lat,long,alamat
15,RSUD Provinsi Kepulauan Riau,Kepulauan Riau,(0771) 7335203,0.9235455,104.4980897,"Jl. WR. Supratman KM.8 No.100, Air Raja, Kec. Tanjungpinang Tim., Kota Tanjung Pinang, Kepulauan Riau"
16,RSUD Muhammad Sani,Kepulauan Riau,(0777) 327808,1.0135714,103.4115396,"Jalan Poros No.1, Harjosari, Tebing, Kabupaten Karimun, Kepulauan Riau"
17,RSUD Dr H Marsidi Judono,Kepulauan Bangka Belitung,(0719) 22190,-2.7489965,107.6760705,"Jl. Jend. Sudirman KM.5,5, Aik Rayak, Tj. Pandan, Kabupaten Belitung, Kepulauan Bangka Belitung"
18,RSUD Depati Hamzah,Kepulauan Bangka Belitung,(0717) 438660,-2.1439872,106.1223695,"Jl. Soekarno Hatta, Bukitbesar, Kec. Girimaya, Kota Pangkal Pinang, Kepulauan Bangka Belitung"
19,RSUP Dr Mohammad Hoesin,Sumatera Selatan,(0711) 354088,-2.9661197,104.7480356,"RW. 5, Jl. Jend. Sudirman KM.3,5, Sekip Jaya, Kec. Kemuning, Kota Palembang, Sumatera Selatan"
20,RS Dr Rivai Abdullah,Sumatera Selatan,(0711) 7537201,-2.9800053,104.861187,"Jl. Sungai Kundur, Mariana, Banyuasin I, Kabupaten Banyu Asin, Sumatera Selatan"
21,RSUD Kayuagung,Sumatera Selatan,(0712) 323889,-3.4075995,104.8234465,"Jl. Letjen Yusuf Singadekane, Jua Jua, Kec. Kayu Agung, Kabupaten Ogan Komering Ilir, Sumatera Selatan"
22,RSUD Lahat.,Sumatera Selatan,(0731) 323080,-3.7930086,103.532385,"Jl. Letnan Alamsyah, Ps. Baru, Kec. Lahat, Kabupaten Lahat, Sumatera Selatan"
23,RSUD Siti Fatimah,Sumatera Selatan,(0711) 5178883,-2.9491184,104.732268,"Jl. Kol. H. Burlian, Suka Bangun, Kec. Sukarami, Kota Palembang, Sumatera Selatan"
24,RSUD Dr M Yunus,Bengkulu,(0736) 52004,-3.8342754,102.3117854,"Jl. Bhayangkara, Sidomulyo, Kec. Gading Cemp., Kota Bengkulu, Bengkulu"
25,RSUD Hasanuddin Damrah Manna,Bengkulu,(+62)85381637684,-4.441954,102.8942945,"Jl. Raya Padang Panjang, Pagar Dewa, Kota Manna, Kabupaten Bengkulu Selatan, Bengkulu"
26,RSUD Arga Makmur,Bengkulu,(0737) 521118,-3.4423457,102.1889651,"Jl. Siti Khodijah No.8, Kali, Arma Jaya, Kabupaten Bengkulu Utara, Bengkulu"
27,RSUD Raden Mattaher,Jambi,(0741) 61692,-1.6034648,103.5778473,"l. Letjen Suprapto No.31, Telanaipura, Kec. Telanaipura, Kota Jambi, Jambi"
28,RSUD Dr H Abdul Moeloek,Lampung,(0721) 703312,-5.402805,105.2564722,"Jl. Dr. Rivai No.6, Penengahan, Kec. Tj. Karang Pusat, Kota Bandar Lampung, Lampung"
29,RSUD Dr H Bob Bazar SKM,Lampung,(0727) 322159,-5.7275525,105.5942715,"Jl. Lettu Rohani No.14 B, Kedaton, Kec. Kalianda, Kabupaten Lampung Selatan, Lampung"
30,RSD May Jend HM Ryacudu,Lampung,(0724) 22095,-4.8326628,104.8891883,"Jl. Jend. Sudirman No.2, Kota Gapura, Kotabumi, Kabupaten Lampung Utara, Lampung"
31,RSUD Jend Ahmad Yani,Lampung,(0725) 41820,-5.1157183,105.3079348,"Jl. Ahmad Yani No.13, Imopuro, Kec. Metro Pusat, Kota Metro, Lampung"
32,RSU Kabupaten Tangerang,Banten,(021) 5523507,-6.169779,106.6334226,"Jl. Jend. Ahmad Yani No.9, RT.001/RW.003, Sukaasih, Kec. Tangerang, Kota Tangerang, Banten"
33,RSUD Dr Drajat Prawiranegara,Banten,-,-6.1198962,106.1504341,"Jl. Rumah Sakit Umum No.1, Kotabaru, Kec. Serang, Kota Serang, Banten "
34,RSUP Dr Hasan Sadikin,Jawa Barat,(022) 203495355,-6.8980969,107.5959504,"Jl. Pasteur No.38, Pasteur, Kec. Sukajadi, Kota Bandung, Jawa Barat"
35,RS Paru Dr H A Rotinsulu,Jawa Barat,(022) 3034446,-6.8788433,107.6038509,"Jl. Bukit Jarian No.40, Hegarmanah, Kec. Cidadap, Kota Bandung, Jawa Barat"
36,RS Paru Dr M Goenawan Partowidigdo,Jawa Barat,(0251) 8253630,-6.6877462,106.9367471,"Jl. Raya Puncak - Cianjur KM.83, Cibeureum, Kec. Cisarua, Bogor, Jawa Barat"
37,RSUD R Syamsudin SH,Jawa Barat,(0266) 225180,-6.9156923,106.9321671,"Jl. Rumah Sakit No.1, Cikole, Kec. Cikole, Kota Sukabumi, Jawa Barat"
38,RSUD Kabupaten Indramayu,Jawa Barat,(0234) 272655,-6.3300805,108.0290017,"Jl. Murahnara No.7, Sindang, Kabupaten Indramayu, Jawa Barat"
39,RSUD Dr Slamet Garut,Jawa Barat,(0262) 237791,-7.2200481,107.8948313,"Jl. Rsu DR. Slamet No.12, Sukakarya, Kec. Tarogong Kidul, Kabupaten Garut, Jawa Barat"
40,RSD Gunung Jati Kota Cirebon,Jawa Barat,(0231)202441,-6.7308392,108.553221,"Jl. Kesambi Raya No.56, Drajat, Kesambi, Jl. Kesambi No.56, Kesambi, Kec. Kesambi, Kota Cirebon, Jawa Barat"
41,RS TK II 03.05.01 Dustira,Jawa Barat,(022) 2034446,-6.8852876,107.5324307,"Jl. Dustira No.1, Baros, Kec. Cimahi Tengah, Kota Cimahi, Jawa Barat"
42,RSUD Subang,Jawa Barat,(0260) 411421,-6.5581419,107.7448665,"Jl. Brigjen Katamso No.37, Dangdeur, Kec. Subang, Kabupaten Subang, Jawa Barat"
43,RSPI Sulianti Saroso,DKI Jakarta,(021) 6506559,-6.1295955,106.8601146,"Jl. Sunter Permai Raya, RT.2/RW.12, Papanggo, Tj. Priok, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta"
44,RSPAD Gatot Soebroto,DKI Jakarta,(021) 3440693,-6.1766263,106.8348727,"Jl. Abdul Rahman Saleh Raya No.24, Senen, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta "
45,RSUD Cengkareng,DKI Jakarta,(021) 54372874,-6.1435827,106.7335031,"Jl. Bumi Cengkareng Indah No.1, RT.13/RW.10, Cengkareng Tim., Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta"
46,RSU Bhayangkara Tk 1 R Said Sukanto (RS Polri),DKI Jakarta,(021) 8093288,-6.2695482,106.8685198,"Jl. Raya Bogor, RT.1/RW.5, Kramat Jati, Kec. Kramat jati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta"
47,RSUP Persahabatan,DKI Jakarta,(021) 4891708,-6.2027574,106.8826738,"Jl. Persahabatan Raya No.1, Pisangan Tim., Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta"
48,RSAL Mintoharjo,DKI Jakarta,(021) 5703081,-6.2108773,106.8093168,"Jl. Bendungan Hilir No.17, RT.4/RW.3, Bend. Hilir, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta"
49,RSUD Pasar Minggu,DKI Jakarta,(021) 29059999,-6.2944959,106.8177425,"Jl. TB Simatupang No.1, RT.1/RW.5, Ragunan, Kec. Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta"
50,RSUP Fatmawati,DKI Jakarta,(021) 7501524,-6.2951885,106.7939469,"Jl. RS. Fatmawati Raya, Cilandak Bar., Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta"
51,RSUP dr Kariadi,Jawa Tengah,(024) 8413476,-6.9942065,110.405301,"Jl. DR. Sutomo No.16, Randusari, Kec. Semarang Sel., Kota Semarang, Jawa Tengah"
52,RSUD KRMT Wongsonegoro,Jawa Tengah,(024) 6711500,-7.0339507,110.4646003,"Jl. Fatmawati No.1, Mangunharjo, Kec. Tembalang, Kota Semarang, Jawa Tengah"
53,RSU Columbia Asia,Jawa Tengah,(024) 7629999,-6.9843027,110.3807143,"Jl. Siliwangi No.143, Kalibanteng Kulon, Kec. Semarang Bar., Kota Semarang, Jawa Tengah"
54,RSU Sultan Agung,Jawa Tengah,(024) 6580019,-6.9554966,110.4591457,"Jl. Kaligawe Raya No.KM. 4, Terboyo Kulon, Kec. Genuk, Kota Semarang, Jawa Tengah"
55,RSU St Elizabeth,Jawa Tengah,(024) 8310035,-7.0061351,110.4169807,"Jl. Kawi Raya No.1, Tegalsari, Kec. Candisari, Kota Semarang, Jawa Tengah"
56,RSU Telogorejo,Jawa Tengah,(024) 86466000,-6.9880487,110.4244253,"Jl. Kh Ahmad Dahlan, Pekunden, Kec. Semarang Tengah, Kota Semarang, Jawa Tengah"
57,RSU Tk III Bhakti Wira Tamtama,Jawa Tengah,(024) 3555944,-6.986833,110.4062431,"Jl. DR. Sutomo No.17, Barusari, Kec. Semarang Sel., Kota Semarang, Jawa Tengah"
58,RSUD Tugurejo,Jawa Tengah,(024) 7605297,-6.9844185,110.3542328,"Jl. Walisongo No. 137 KM 8.5, Tambakaji, Kec. Ngaliyan, Kota Semarang, Jawa Tengah"
59,RSUP dr Soeradji Tirtonegoro,Jawa Tengah,(0272) 321041,-7.7143799,110.5864769,"Jl. KRT Pringgodiningrat Jl. Dr. Soeradji Tirtonegoro No.1, Dusun 1, Tegalyoso, Kec. Klaten Sel., Kabupaten Klaten, Jawa Tengah"
60,RSUD Kraton Kabupaten,Jawa Tengah,(0285) 421621,-6.8814082,109.6653463,"Jl. Veteran No.31, Dukuh, Pekalongan Utara, Kota Pekalongan, Jawa Tengah"
61,RSUD Dr H RM Soeselo,Jawa Tengah,(0283) 491016,-6.9935091,109.1355191,"Jl. DR. Soetomo No.63, Slawi Kulon, Kec. Slawi, Tegal, Jawa Tengah"
62,RSUD Dr H Soewondo,Jawa Tengah,(0294) 381433,-6.9178287,110.2040305,"Jl. Laut No.21, Ngilir, Kec. Kendal, Kabupaten Kendal, Jawa Tengah"
63,RSUD Prof Dr Margono,Jawa Tengah,(0281) 632708,-7.4366567,109.2652207,"Jl. Dr. Gumbreg No.1, Kebontebu, Berkoh, Kec. Purwokerto Sel., Kabupaten Banyumas, Jawa Tengah"
64,RSUD Tidar,Jawa Tengah,(0293) 362260,-7.4855282,110.2160706,"Jl. Tidar No.30 A, Kemirirejo, Kec. Magelang Tengah, Kota Magelang, Jawa Tengah"
65,RSUD Dr Moewardi,Jawa Tengah,(0271) 634634,-7.5581697,110.8394868,"Jl. Kolonel Sutarto No.132, Jebres, Kec. Jebres, Kota Surakarta, Jawa Tengah"
66,RS Paru Dr Ario Wirawan,Jawa Tengah,(0298) 326130,-7.3489354,110.4872623,"Jl. Hasanudin No.806, Mangunsari, Kec. Sidomukti, Kota Salatiga, Jawa Tengah"
67,RSUD Banyumas.,Jawa Tengah,(0281) 796182,-7.5291494,109.2905,"Jl. Rumah Sakit No.1, Karangpucung, Kejawar, Kec. Banyumas, Kabupaten Banyumas, Jawa Tengah"
68,RSUD Dr Loekmonohadi,Jawa Tengah,(0291) 431831,-6.8186726,110.8345056,"Jl. Dr. Lukmonohadi No.19, Jl. Dr. Lukmono Hadi No.19, Cobowo, Ploso, Kec. Jati, Kabupaten Kudus, Jawa Tengah"
69,RSUD Kardinah,Jawa Tengah,(0283) 350377,-6.8847932,109.1329863,"Jl. AIP Jl. KS. Tubun No.2, Kejambon, Kec. Tegal Tim., Kota Tegal, Jawa Tengah"
70,RSUD Salatiga.,Jawa Tengah,(0298) 324074,-7.329327,110.4824961,"Jl. Osamaliki, Sidorejo Lor, Kec. Sidorejo, Kota Salatiga, Jawa Tengah"
71,RSU Tk IV 04.07.03 dr Asmir,Jawa Tengah,(0298) 326045,-7.3312403,110.5083719,"Jl. DR. Muwardi No.50, Kutowinangun Kidul, Kec. Tingkir, Kota Salatiga, Jawa Tengah"
72,RSUD Ambarawa,Jawa Tengah,(0298) 591020,-7.2677979,110.4060831,"Jalan R.A. Kartini No. 101 Tambakboyo Lodoyong, Losari, Kec. Ambarawa, Semarang, Jawa Tengah"
73,RSUD Sunan Kalijaga,Jawa Tengah,(0291) 685018,-6.8989466,110.6317094,"Jl. Sultan Fatah 669/50, Bintoro, Kecamatan Demak, Bogorame, Bintoro, Kec. Demak, Kabupaten Demak, Jawa Tengah"
74,RSUD dr R Soedjati,Jawa Tengah,(0292) 421004,-7.0847476,110.9179776,"Jl. D. I. Panjaitan No.36, Ngabean, Purwodadi, Kec. Purwodadi, Kabupaten Grobogan, Jawa Tengah"
75,RSU Bhayangkara,Jawa Tengah,(024) 6720675,-7.0004522,110.4441185,"Jl. Majapahit No.140, Gayamsari, Kec. Gayamsari, Kota Semarang, Jawa Tengah"
76,RSU Tk II dr Seodjono,Jawa Tengah,(0293) 363061,-7.4678094,110.2238912,"Jl. Jend. Urip Sumoharjo No.48, Wates, Kec. Magelang Utara, Kota Magelang, Jawa Tengah"
77,RSUD RAA Soewondo,Jawa Tengah,(0295) 381102,-6.7387037,111.0410043,"Jl. Dr. Susanto No.114, Ngipik, Kutoharjo, Kec. Pati, Kabupaten Pati, Jawa Tengah"
78,RSUD RA Kartini,Jawa Tengah,(0291) 591175,-6.6062537,110.6794054,"Jl. Wahid Hasyim No.175, Rw. V, Bapangan, Kec. Jepara, Kabupaten Jepara, Jawa Tengah"
79,RSUD dr R Soetrasno,Jawa Tengah,(0295) 691444,-6.7089339,111.356008,"Jl. Pahlawan No.16, Kabongan Kidul, Kec. Rembang, Kabupaten Rembang, Jawa Tengah"
80,RSUD dr R Soetijono,Jawa Tengah,(0296) 531118,-6.9671116,111.4182324,"Jl. Dr. Sutomo No.42, Blora, Tempelan, Kec. Blora, Kabupaten Blora, Jawa Tengah"
81,RSU Mardi Rahayu,Jawa Tengah,(0291) 438234,-6.830099,110.8290833,"Jl. AKBP Agil Kusumadya No.110, Jatirejo, Jati Wetan, Kec. Jati, Kabupaten Kudus, Jawa Tengah"
82,RSUD Bendan,Jawa Tengah,(0285) 437222,-6.8915427,109.6592803,"Jl. Sriwijaya No.2, Bendan, Kec. Pekalongan Bar., Kota Pekalongan, Jawa Tengah"
83,RSUD Kajen,Jawa Tengah,(0285) 385231,-7.0310299,109.6151839,"Jl. Raya Karanganyar No.36, Mlatensatu, Karangsari, Kec. Karanganyar, Pekalongan, Jawa Tengah"
84,RSUD Batang.,Jawa Tengah,(0285) 4493034,-6.914604,109.7164554,"Jl. Dr.Sutomo No.42, Kauman, Kec. Batang, Kabupaten Batang, Jawa Tengah"
85,RSUD Dr M Ashari,Jawa Tengah,(0284) 321614,-6.9106352,109.3801396,"Jl. Gatot Subroto No.41, Bojongbata, Kec. Pemalang, Kabupaten Pemalang, Jawa Tengah"
86,RSUD Brebes.,Jawa Tengah,(0283) 671431,-6.874948,109.0471762,"Jl. Jenderal Sudirman No.181, Pangembon, Brebes, Kec. Brebes, Kabupaten Brebes, Jawa Tengah"
87,RSU Islam Harapan Anda,Jawa Tengah,(0283) 358244,-7.0310299,109.6151839,"Jl. Ababil No.42, Randugunting, Kec. Tegal Sel., Kota Tegal, Jawa Tengah"
88,RSUD Cilacap,Jawa Tengah,(0282) 533010,-7.7172811,109.0131146,"Jl. Gatot Subroto No.28, Tambaksari, Sidanegara, Kec. Cilacap Tengah, Kabupaten Cilacap, Jawa Tengah"
89,RSUD Hj Anna Lasmanah,Jawa Tengah,(0286) 591464,-7.3928861,109.6906363,"Jl. Jend. Sudirman No.42, Kutabanjarnegara, Kec. Banjarnegara, Banjarnegara, Jawa Tengah"
90,RSUD dr R Goeteng Taroenadibrata,Jawa Tengah,(0281) 891016,-7.3785884,109.3593854,"Jl. Tentara Pelajar No.23, Kembaran Kulon, Kec. Purbalingga, Kabupaten Purbalingga, Jawa Tengah"
91,RSUD Setjonegoro,Jawa Tengah,(0286) 321091,-7.3635045,109.8962986,"Jl. Rumah Sakit No.1, Stasiun, Wonosobo Bar., Kec. Wonosobo, Kabupaten Wonosobo, Jawa Tengah"
92,RSUD dr Soedirman,Jawa Tengah,(0287) 381101,-7.7007222,109.6625518,"Jalan Lingkar Selatan, Muktisari, Kebumen, Kecamatan Kebumen, Jl. Raya Alternatif Luar Kota Kebumen, Kenteng, Muktisari, Kec. Kebumen, Kabupaten Kebumen, Jawa Tengah"
93,RSU Tk III Wijayakusuma,Jawa Tengah,(0281) 633062,0.1244922,111.7760418,"Jl. Prof Dr. HR Bunyamin, Glempang, Bancarkembar, Kec. Purwokerto Utara, Kabupaten Banyumas, Jawa Tengah"
94,RSUD Kota Surakarta.,Jawa Tengah,(0271) 715300,-7.5257538,110.8109174,"Jl. Lettu Sumarto No.01, Kedungupit, Kadipiro, Kec. Banjarsari, Kabupaten Boyolali, Jawa Tengah"
95,RSUD Ir Soekarno,Jawa Tengah,(0271) 593118,-7.6834072,110.8477229,"Jalan Dokter Muwardi No.71, Bulusari, Gayam, Kec. Sukoharjo, Kabupaten Sukoharjo, Jawa Tengah "
96,RSUD Pandan Arang,Jawa Tengah,(0276) 321065,-7.5329466,110.5885355,"Jalan Kantil No.14, Pulisen, Boyolali, Lorjurang, Pulisen, Kec. Boyolali, Kabupaten Boyolali, Jawa Tengah"
97,RSUD Bagas Waras,Jawa Tengah,(0272) 3359666,-7.7279916,110.6034381,"Jalan Ir. Soekarno No.KM.2, Buntalan, Kec. Klaten Tengah, Kabupaten Klaten, Jawa Tengah "
98,RSUD Soehadi Prijonegoro,Jawa Tengah,(0271) 891068,-7.4187173,111.0361918,"Jl. Sukowati No.534, Ngrandu, Nglorog, Kec. Sragen, Kabupaten Sragen, Jawa Tengah"
99,RSUD Karanganyar.,Jawa Tengah,(0271) 495673,-7.5910704,110.9472624,"Jalan Laksda Jl. Yos Sudarso, Jengglong, Bejen, Kec. Karanganyar, Kabupaten Karanganyar, Jawa Tengah"
100,RSUD Dr Soediran MS,Jawa Tengah,(0273) 321008,-7.8048137,110.9137033,"Jl. Jenderal Ahmad Yani No.40, Joho Lor, Giriwono, Kec. Wonogiri, Kabupaten Wonogiri, Jawa Tengah"
101,RSU PKU Muhammadiyah,Jawa Tengah,(0271) 714578,-7.5650218,110.8145044," Jl. Ronggowarsito No.130, Timuran, Kec. Banjarsari, Kota Surakarta, Jawa Tengah"
102,"RSU Islam, Klaten.",Jawa Tengah,(0272) 322252,-7.6857227,110.632176,"Jl. Klaten - Solo No.KM.4, Sidorejo, Belang Wetan, Kec. Klaten Utara, Kabupaten Klaten, Jawa Tengah"
103,RS Kasih Ibu,Jawa Tengah,(0271) 714422,-7.5629684,110.7995736,"Jl. Slamet Riyadi No.404, Purwosari, Kec. Laweyan, Kota Surakarta, Jawa Tengah "
104,RS dr Oen,Jawa Tengah,(0271) 643139,-7.5554557,110.8358398,"Jl. Brigjen Katamso No.55, Tegalharjo, Kec. Jebres, Kota Surakarta, Jawa Tengah"
105,RSU Tk IV Slamet Riyadi,Jawa Tengah,(0271) 714656,-7.5658532,110.8030469,"Jl. Slamet Riyadi No No.321Kvi, Purwosari, Kec. Laweyan, Kota Surakarta, Jawa Tengah"
106,RSUD Djojonegoro,Jawa Tengah,(0293) 491119,-7.3118647,110.1758065,"Jl. Gajah Mada No.1A, Sendang, Walitelon Sel., Kec. Temanggung, Kabupaten Temanggung, Jawa Tengah"
107,RSUD Dr Tjitrowardojo,Jawa Tengah,(0275) 321118,-7.7188613,109.9784391,Jln.Jendral Sudirman 60 Purworejo Jawa Tengah
108,RSUD Muntilan,Jawa Tengah,(0293) 587004,-7.5829773,110.288864,"Jl. Kartini No.13, Balemulyo, Muntilan, Kec. Muntilan, Magelang, Jawa Tengah"
109,RSUD Kota Yogyakarta.,Daerah Istimewa Yogyakarta,(0274) 371195,-7.8015958,110.3560703,"Jl. Ki Ageng Pemanahan No.1, Sorosutan, Kec. Umbulharjo, Kota Yogyakarta, Daerah Istimewa Yogyakarta"
110,RSUP dr Sardjito,Daerah Istimewa Yogyakarta,(0274) 631190,-7.768611,110.3712855,"Jl. Kesehatan No.1, Senolowo, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta "
111,RSUD Panembahan Senopati,Daerah Istimewa Yogyakarta,(0274) 367381,-7.8928224,110.3359187,"Jl. Dr. Wahidin Sudiro Husodo, Area Sawah, Trirenggo, Kec. Bantul, Bantul, Daerah Istimewa Yogyakarta"
112,RSUD Wates,Daerah Istimewa Yogyakarta,(0274) 773169,-7.8588287,110.1457591,"Jalan Tentara Pelajar KM. 1 No. 5, Jl. Tentara Pelajar No.5, Area Sawah, Beji, Wates, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta"
113,RSUD Dr Soebandi,Jawa Timur,(0331) 487441,-8.151727,113.7128322,"Jl. DR. Soebandi No.124, Cangkring, Patrang, Kec. Patrang, Kabupaten Jember, Jawa Timur"
114,RSUD Kabupaten Kediri,Jawa Timur,(0354) 391718,-7.7597672,112.1738997,"Jl. Pahlawan Kusuma Bangsa No.1, Cangkring, Pelem, Pare, Kediri,Jawa Timur"
115,RSUD Dr Soetomo,Jawa Timur,(031) 5501001,-7.2680171,112.7563105,"Jl. Mayjen Prof. Dr. Moestopo No.6-8, Airlangga, Kec. Gubeng, Kota SBY, Jawa Timur"
116,RSUD Dr Soedono,Jawa Timur,(0351) 464325,-7.626303,111.5218121,"Jl. Dr. Sutomo No.59, Kartoharjo, Kec. Kartoharjo, Kota Madiun, Jawa Timur"
117,RSUD Dr Saiful Anwar,Jawa Timur,(0341) 362101,-7.626303,111.5218121,"Jl. Jaksa Agung Suprapto No.2, Klojen, Kec. Klojen, Kota Malang, Jawa Timur"
118,RSUD dr R Koesma,Jawa Timur,(0356) 321010,-6.8987533,112.0443305,"Jl. Dr. Wahidin Sh Gg. Bima No.800, Sidorejo, Kec. Tuban, Kabupaten Tuban, Jawa Timur"
119,RSUD Blambangan,Jawa Timur,(0333) 421118,-8.2083601,114.363804,"Jl. Letkol Istiqlah No.49, Singonegaran, Kec. Banyuwangi, Kabupaten Banyuwangi, Jawa Timur"
120,RSUD Dr R Sosodoro Djatikoesoemo,Jawa Timur,(0353) 3412133,-7.1609194,111.8980231,"Jl. Veteran No.36, Jambean, Sukorejo, Kec. Bojonegoro, Kabupaten Bojonegoro, Jawa Timur"
121,RSUD Dr Iskak,Jawa Timur,(0355) 322609,-8.0549297,111.9159231,"Jl. Dr. Wahidin Sudiro Husodo, Kedung Taman, Kedungwaru, Kec. Kedungwaru, Kabupaten Tulungagung, Jawa Timur"
122,RSUD Sidoarjo,Jawa Timur,(031) 8961649,-7.4654393,112.7141822,"Jl. Mojopahit No.667, Sidowayah, Celep, Kec. Sidoarjo, Kabupaten Sidoarjo, Jawa Timur"
123,RS Universitas Airlangga Kampus C Universitas Airlangga,Jawa Timur,(031) 5916290,-7.2688774,112.7830745,"Kampus C Unair, Jl. Mulyorejo, Mulyorejo, Kec. Mulyorejo, Kota SBY, Jawa Timur"
124,RSUD Tanjung Selor,Kalimantan Utara,(0552) 21118,2.8303146,117.3788395,"Jl. Cendrawasih, Tj. Selor Hilir, Tj. Selor, Kabupaten Bulungan, Kalimantan Utara"
125,RSUD Tarakan,Kalimantan Utara,(0551) 21166,3.3115386,117.5915553,"Jl. Pulau Irian No.1, Kp. Satu Skip, Tarakan Tengah, Kota Tarakan, Kalimantan Utara"
126,RSUD Dr Doris Sylvanus,Kalimantan Tengah,(0536) 3224695,-2.2105316,113.9202954,"Jl. Tambun Bungai No.04, Langkai, Kec. Pahandut, Kota Palangka Raya, Kalimantan Tengah"
127,RSUD Dr Murjani,Kalimantan Tengah,(0531) 21010,-2.5427309,112.9472538,"Jl. H.M. Arsyad No.65, Mentawa Baru Hulu, Mentawa Baru/Ketapan, Kabupaten Kotawaringin Timur, Kalimantan Tengah"
128,RSUD Sultan Imanuddin,Kalimantan Tengah,(0532) 21404,-2.6918916,111.6302,"Jl. Sutan Syahrir No.17, Madurejo, Kec. Arut Sel., Kabupaten Kotawaringin Barat, Kalimantan Tengah"
129,RSUD Ulin Banjarmasin.,Kalimantan Selatan,(0511) 3252180,-3.3228357,114.5989962,"Jalan A. Yani No. 43, Sungai Baru, Banjarmasin Tengah, Sungai Baru, Kec. Banjarmasin Tengah, Kota Banjarmasin, Kalimantan Selatan"
130,RSUD H Boejasin Pelaihari,Kalimantan Selatan,(0512) 21083,-3.8136975,114.7646358,"Jl. H. Boejasin No. 68A, Angsau, Pelaihari, Jl. H. Boejasin No.68A, Angsau, Kec. Pelaihari, Kabupaten Tanah Laut, Kalimantan Selatan "
131,RSUD Abdul Wahab Sjahranie,Kalimantan Timur,(0541) 738118,-0.4790047,117.1420767,"Jl. Palang Merah No.1, Sidodadi, Kec. Samarinda Ulu, Kota Samarinda, Kalimantan Timur"
132,RSUD Dr Kanujoso Djatiwibowo,Kalimantan Timur,(0542) 873901,-1.225499,116.8659788,"Jl. MT Haryono No.656, Batu Ampar, Kec. Balikpapan Utara, Kota Balikpapan, Kalimantan Timur"
